Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V
350.5,0.424457,3.895837,3.923412,0.386405,3.853258,4,0.410772,4,4,0.392531,3.977632,3.930976,0.389444,3.961499,3.90572,0.391938,4,4
351,0.425639,3.95105,4,0.387737,4,3.977922,0.412423,3.958572,4,0.393718,4,4,0.390659,4,4,0.393299,4,3.878988
351.5,0.427075,3.877975,4,0.389323,4,4,0.413946,3.845361,3.908149,0.395044,3.918529,4,0.392086,3.962187,4,0.39497,4,4
352,0.429056,3.956372,4,0.390913,4,3.98988,0.415458,3.907645,4,0.396899,4,4,0.39401,4,4,0.39644,4,3.968259
352.5,0.430424,4,4,0.392731,4,4,0.417316,3.92911,3.969937,0.398437,4,4,0.395494,4,3.990141,0.398138,4,3.952823
353,0.432306,4,4,0.394177,4,3.947213,0.419352,3.939084,4,0.400092,3.914663,4,0.397384,3.932346,3.978835,0.399634,4,4
353.5,0.433991,4,4,0.395466,4,3.99061,0.42072,4,4,0.40143,3.751084,4,0.398928,3.979081,3.979096,0.401308,4,4
354,0.435494,4,3.979303,0.396863,3.979315,3.904965,0.42246,3.936024,3.990678,0.40284,4,4,0.400172,4,4,0.402778,4,3.970476
354.5,0.437187,4,4,0.398542,3.957494,4,0.424062,3.990848,4,0.404781,4,3.934097,0.401448,3.943373,3.957325,0.404228,4,4
355,0.438736,3.99101,4,0.399643,3.915003,3.97959,0.425766,3.979654,3.885005,0.406208,4,4,0.403113,3.868218,4,0.405895,4,3.970767
355.5,0.440262,4,4,0.40086,4,3.991045,0.427383,3.97092,3.912848,0.408057,4,4,0.4048,4,4,0.407685,4,3.979768
356,0.442372,3.842627,4,0.402805,4,3.872549,0.429262,3.97111,3.948983,0.409616,4,4,0.406592,4,4,0.408967,4,4
356.5,0.444165,3.991358,3.952657,0.404592,4,4,0.431097,3.980022,3.963948,0.411182,3.991333,3.991326,0.408191,3.979903,3.991338,0.410829,3.991238,4
357,0.446121,4,4,0.406631,4,4,0.433074,4,4,0.413027,3.991333,4,0.410115,3.971211,3.928032,0.412744,4,4
357.5,0.447843,3.944306,4,0.408279,4,3.857709,0.435099,4,3.958002,0.414798,3.97129,4,0.412217,3.960252,4,0.414775,4,4
358,0.449983,3.980194,4,0.409954,3.948121,3.952782,0.436904,4,4,0.416805,4,4,0.413543,3.980136,3.991455,0.416863,4,4
358.5,0.452002,3.991548,3.991554,0.411852,3.955653,3.958086,0.438951,4,4,0.418909,4,4,0.415433,3.958023,4,0.418527,4,4
359,0.454307,3.922224,4,0.413284,3.900868,4,0.440682,4,3.943946,0.420511,4,4,0.417695,4,4,0.420498,4,3.97128
359.5,0.456002,3.922165,4,0.41503,4,4,0.442721,4,4,0.422403,3.96268,4,0.419013,4,3.980041,0.421713,3.952652,3.971188
360,0.4578,4,4,0.41676,4,4,0.444967,4,3.907834,0.424475,4,4,0.420804,3.963988,4,0.42365,4,3.982639
360.5,0.459212,4,4,0.418553,4,3.963923,0.446672,4,3.971045,0.426022,4,4,0.422787,4,4,0.425702,4,4
361,0.461631,4,3.957663,0.420146,4,4,0.448382,3.970963,3.991169,0.427532,3.961962,3.963639,0.424504,4,4,0.427422,4,4
361.5,0.463356,4,3.979581,0.421786,4,3.97079,0.450159,3.937018,4,0.429255,3.981977,4,0.426208,4,4,0.429528,3.963504,3.943245
362,0.465561,3.9705,3.952132,0.423686,3.922397,4,0.452358,3.915357,3.823488,0.431392,3.957206,4,0.427908,3.963248,3.890105,0.431551,4,3.943245
362.5,0.467046,3.924382,3.933497,0.425021,4,3.979053,0.454201,4,4,0.433343,3.969441,4,0.429955,4,3.990386,0.432826,4,4
363,0.4691,3.978797,4,0.42713,4,3.970119,0.455875,4,4,0.435119,3.916116,4,0.431762,4,4,0.434382,4,4
363.5,0.471181,3.978797,4,0.429087,3.989826,4,0.45843,3.978471,3.989858,0.437294,4,4,0.434075,4,3.885635,0.436465,4,4
364,0.473304,4,4,0.430895,3.989826,4,0.460307,3.924666,3.989425,0.439275,4,4,0.436314,4,3.989498,0.438563,4,4
364.5,0.475369,4,4,0.43281,3.961841,4,0.462524,4,3.978507,0.441148,4,4,0.437522,4,4,0.440242,3.941658,4
365,0.477639,4,4,0.435504,3.952281,4,0.4652,3.935888,3.950373,0.44325,3.994453,3.994553,0.440135,4,3.977738,0.442897,4,3.994378
365.5,0.480027,4,3.88607,0.437076,3.965281,4,0.466799,3.984035,4,0.445228,3.983709,3.919321,0.441682,4,3.938066,0.444863,3.951942,4
366,0.482255,3.980345,3.948624,0.439028,3.96262,3.952129,0.469028,3.984723,3.952857,0.447117,4,3.975395,0.443858,3.984441,3.931156,0.446582,3.753162,4
366.5,0.483944,3.984679,3.942533,0.440987,3.874282,4,0.471325,3.937593,3.92471,0.449339,4,3.976142,0.445594,3.928629,3.893041,0.448594,4,3.976194
367,0.485873,3.958495,3.985601,0.442929,3.95496,3.973425,0.47318,3.985671,3.946723,0.451049,4,3.996771,0.44758,3.996884,3.985351,0.450923,3.963784,4
367.5,0.487947,3.789466,4,0.444676,3.986414,3.97007,0.475477,3.956347,3.834738,0.453,3.997266,4,0.449411,3.97757,4,0.452751,3.920173,4
368,0.490185,3.824815,4,0.44667,3.921836,4,0.477385,3.954489,3.986485,0.454714,4,4,0.451636,3.929171,3.927246,0.454721,3.918307,3.929892
368.5,0.49256,3.860107,3.96174,0.448922,3.965425,3.987374,0.480085,3.98742,3.971236,0.457208,4,4,0.454413,4,3.97681,0.456955,3.986011,3.926472
369,0.49462,3.83748,4,0.450436,4,4,0.482188,3.97226,3.960802,0.458958,3.987888,3.959597,0.456052,4,4,0.459005,3.972071,4
369.5,0.496726,4,4,0.452478,4,3.917975,0.484453,3.908197,4,0.461474,3.979884,3.988284,0.45833,4,3.893479,0.461038,3.999868,4
370,0.499414,3.961985,4,0.454729,3.914861,3.940102,0.486453,3.953237,3.942495,0.463429,3.967153,3.967275,0.460336,3.989146,3.827314,0.463525,4,4
370.5,0.50144,3.967686,4,0.456845,3.865154,3.957597,0.488526,4,4,0.465667,4,4,0.462525,4,3.957664,0.465463,3.974018,4
371,0.503598,4,4,0.458586,3.87054,3.981719,0.490818,3.868836,3.916512,0.467561,3.974129,4,0.464418,4,4,0.467395,4,4
371.5,0.505641,3.991287,3.939765,0.460801,4,3.922279,0.493159,3.918779,4,0.469679,4,4,0.466453,4,3.95523,0.469378,4,4
372,0.508086,3.975913,4,0.462791,3.991947,3.969686,0.495232,3.890198,3.991516,0.471589,3.931919,4,0.46871,4,3.963985,0.471671,3.975603,4
372.5,0.510452,3.975913,4,0.464855,3.947776,4,0.497901,3.860246,3.992007,0.474025,4,3.964699,0.470765,4,3.952022,0.474077,4,4
373,0.512707,3.956542,3.993023,0.466795,4,3.963534,0.500085,3.941969,3.970703,0.476062,3.961068,3.970952,0.472779,3.992663,4,0.476047,3.949749,4
373.5,0.514644,4,4,0.468886,3.844634,3.940797,0.502191,3.884581,4,0.478343,4,4,0.474924,3.91091,4,0.477926,3.971157,4
374,0.517172,3.908699,4,0.470923,3.972577,3.934092,0.504147,3.920032,3.993901,0.480572,3.98528,3.994434,0.477052,3.860929,3.985172,0.479962,4,4
374.5,0.519535,3.93719,3.978813,0.473106,3.994567,3.941051,0.507115,3.930875,4,0.482952,4,3.966826,0.479652,3.995179,3.995128,0.48251,3.978562,3.958464
375,0.522631,3.979547,4,0.475919,4,3.946501,0.509696,4,3.979383,0.48569,3.968636,4,0.482077,3.981734,3.923623,0.485177,4,3.995493
375.5,0.524634,4,3.995872,0.478072,4,3.956473,0.512116,4,3.968776,0.487799,4,3.99629,0.484487,4,4,0.487478,3.974116,3.964722
376,0.527172,3.97489,3.980916,0.479924,3.957583,3.980564,0.514658,3.965497,3.955468,0.490176,4,4,0.486598,4,3.996662,0.489608,3.969588,4
376.5,0.52964,4,3.983577,0.482141,3.997325,4,0.516871,3.981252,4,0.492491,4,3.98161,0.488912,3.98864,4,0.492156,3.99754,4
377,0.532068,3.894078,3.997694,0.484379,4,3.951148,0.519592,3.938129,4,0.494725,4,4,0.491285,3.955408,4,0.494262,3.975695,3.965419
377.5,0.534778,3.872234,3.988773,0.486528,3.971012,3.900173,0.522231,3.979946,3.982657,0.497335,4,4,0.493868,4,3.890355,0.496542,3.933044,3.994953
378,0.537334,4,3.906599,0.488846,3.932904,3.949755,0.525118,4,3.980829,0.499815,3.999087,4,0.496525,3.955313,3.899122,0.499358,3.999232,4
378.5,0.539902,3.984279,3.923168,0.491884,3.94997,3.865167,0.52764,4,4,0.502362,3.983737,3.93535,0.498716,3.999735,4,0.501929,4,3.984242
379,0.542736,3.912351,3.973001,0.494088,3.869979,4,0.530338,3.905881,3.930207,0.504891,3.903324,3.968368,0.501173,3.957577,4,0.504223,4,3.984797
379.5,0.545511,3.9855,4,0.496376,3.979197,3.893147,0.532525,4,3.923613,0.507402,3.96137,4,0.503764,3.851036,3.939224,0.506834,4,3.867939
380,0.548158,3.894157,3.985929,0.498764,3.920619,3.992861,0.535734,3.974673,3.88765,0.50989,4,3.897315,0.50649,4,3.874498,0.509522,4,3.945029
380.5,0.551183,3.885825,3.952885,0.501354,3.857251,3.970578,0.5385,3.950421,3.937634,0.51258,4,3.869828,0.509275,3.962647,3.884266,0.512167,4,3.993545
381,0.553699,3.922848,3.838056,0.504034,3.906575,3.815317,0.541338,3.822253,3.872893,0.515198,3.956693,3.879183,0.51167,4,3.866801,0.514665,3.943785,3.887437
381.5,0.556622,3.963666,3.921974,0.506628,3.976325,3.704441,0.543899,3.932855,3.799791,0.518085,3.957679,3.960812,0.514205,3.899946,3.68843,0.517145,3.732447,3.885076
382,0.559476,3.858199,3.880591,0.508899,3.835791,3.761768,0.546888,3.753157,3.742161,0.520552,3.79547,3.866575,0.516657,3.734308,3.69589,0.519633,3.677247,3.75435
382.5,0.562179,3.42373,3.675412,0.511241,3.65408,3.610676,0.549434,3.705577,3.677505,0.522886,3.557508,3.662301,0.519193,3.672593,3.540597,0.522002,3.761425,3.447782
383,0.564997,3.37346,3.833064,0.513691,3.401135,3.42677,0.551924,3.488884,3.478568,0.52547,3.530709,3.56863,0.521444,3.479768,3.602702,0.524845,3.635668,3.290201
383.5,0.567605,3.187513,3.57762,0.515964,3.304099,3.245503,0.554574,3.375725,3.444521,0.527844,3.419448,3.282198,0.523854,3.364938,3.187374,0.526719,3.37789,3.251985
384,0.570735,3.064658,3.262782,0.518651,3.122975,3.152958,0.55735,3.210761,3.214287,0.530543,3.1798,3.189696,0.526162,3.248704,3.055592,0.529368,3.15875,3.168326
