Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V,V_baseline,H_baseline
776.0,0.137502,0.1373396667,0.13809700000000003,0.124156,0.12458366670000001,0.12048200000000009,0.130798,0.1325886667,0.12376300000000007,0.129478,0.13228466669999997,0.11758900000000005,0.128376,0.13385966669999996,0.11404000000000003,0.129161,0.13581166669999997,0.11166000000000009,0.583845,0.2101133333
776.5,0.137342,0.136716,0.13755700000000004,0.124013,0.123913,0.11991200000000002,0.130652,0.131849,0.12309800000000004,0.129341,0.131509,0.11696200000000001,0.128239,0.13301800000000003,0.11335800000000007,0.12897,0.13499100000000003,0.11116800000000004,0.583977,0.210059
777.0,0.1372,0.13594733330000003,0.13737430000000006,0.123876,0.1232573333,0.11988330000000003,0.130462,0.1312903333,0.12312330000000005,0.129204,0.13094133330000002,0.11723130000000004,0.128061,0.1326553333,0.11366830000000006,0.128832,0.1348093333,0.11163029999999996,0.5836747,0.2099096667
777.5,0.137051,0.13604599999999997,0.13785000000000003,0.123761,0.12341899999999997,0.12040299999999993,0.130342,0.131534,0.12370799999999993,0.129041,0.13123100000000001,0.11770800000000003,0.127941,0.13302899999999998,0.11421499999999996,0.128718,0.135201,0.11203699999999994,0.583222,0.20946
778.0,0.1369,0.1365096667,0.13771500000000003,0.123661,0.12388966669999998,0.12023300000000003,0.130257,0.13203566669999997,0.12350300000000003,0.128941,0.13162066669999997,0.11744100000000002,0.12784,0.13344266669999996,0.11396300000000004,0.128575,0.13550466669999997,0.11169699999999994,0.583218,0.2088643333
778.5,0.13674,0.1365633333,0.13698770000000005,0.123529,0.12392033329999999,0.11955570000000004,0.130106,0.1319553333,0.12280170000000001,0.128781,0.1314743333,0.1167317,0.127678,0.1331343333,0.11318670000000008,0.12846,0.13506233329999998,0.1109517000000001,0.5836233,0.2085616667
779.0,0.136553,0.13604166669999998,0.1367440000000001,0.123364,0.12336966669999996,0.11929400000000001,0.129954,0.1312956667,0.12258900000000006,0.128647,0.1309146667,0.11657300000000004,0.127506,0.13249166669999998,0.11305100000000001,0.128295,0.13449866669999996,0.11095,0.583544,0.2084223333
779.5,0.136403,0.13546466669999999,0.13690499999999994,0.123226,0.12280466669999998,0.11960599999999999,0.129794,0.13083266670000002,0.122842,0.128452,0.1304556667,0.11687799999999993,0.1274,0.1321546667,0.11335299999999993,0.128142,0.13411266670000002,0.1111359999999999,0.583165,0.2082903333
780.0,0.136236,0.13534466669999998,0.13690170000000002,0.123102,0.12268466669999997,0.11950470000000002,0.129686,0.13069966669999997,0.12273970000000001,0.128325,0.13037166669999997,0.11675069999999999,0.127248,0.13212666669999998,0.11316970000000004,0.128014,0.13417466669999997,0.1111107,0.5828913,0.2079203333
780.5,0.136087,0.1353946667,0.1364567,0.122949,0.12290366670000002,0.11917670000000002,0.129503,0.1308696667,0.12243570000000004,0.128194,0.13060266669999998,0.11662070000000002,0.127092,0.13239966669999997,0.11303970000000008,0.127856,0.1343866667,0.11100070000000006,0.5829483,0.2074693333
781.0,0.135963,0.13564400000000001,0.13652969999999998,0.122831,0.12318500000000002,0.11920370000000002,0.129387,0.131144,0.12247370000000002,0.128079,0.130756,0.11658970000000002,0.12695,0.13246900000000003,0.11304269999999994,0.127732,0.134439,0.11089569999999993,0.5828883,0.207006
781.5,0.135805,0.13549200000000003,0.13638499999999998,0.122712,0.12296100000000001,0.11908200000000002,0.129259,0.130889,0.12228700000000003,0.127921,0.13048400000000002,0.11636999999999997,0.126802,0.132107,0.11280599999999996,0.127567,0.13404200000000002,0.11062700000000003,0.582916,0.206782
782.0,0.135625,0.13486433329999997,0.13602099999999995,0.122555,0.1222943333,0.11871900000000002,0.129071,0.1301703333,0.12183999999999995,0.127789,0.12973933329999998,0.11577099999999996,0.126661,0.1313173333,0.11228899999999997,0.127415,0.1332903333,0.11008499999999999,0.582929,0.2067496667
782.5,0.135487,0.13426866669999998,0.1357463,0.122451,0.12176066669999996,0.11853730000000007,0.128952,0.12970466669999997,0.1217123,0.127706,0.1293486667,0.11581030000000003,0.126559,0.13106966669999998,0.11235230000000007,0.127334,0.13321066669999998,0.11034929999999998,0.5826897,0.2065623333
783.0,0.135358,0.1343983333,0.13605699999999998,0.122346,0.1220453333,0.11897500000000005,0.128847,0.1300563333,0.12222,0.127569,0.1296783333,0.116336,0.126452,0.1315293333,0.11292800000000003,0.127187,0.1336333333,0.11076799999999998,0.582329,0.2060446667
783.5,0.135204,0.1349046667,0.136015,0.122241,0.12249966670000001,0.11899199999999999,0.128711,0.1304836667,0.1221199999999999,0.127403,0.13010266669999998,0.11614599999999997,0.126342,0.1318656667,0.1127379999999999,0.127074,0.13386066670000002,0.11055599999999999,0.582285,0.2054423333
784.0,0.135077,0.13486800000000002,0.135347,0.122138,0.122387,0.11820599999999992,0.128567,0.130236,0.1213479999999999,0.127263,0.12987400000000002,0.11533799999999994,0.126196,0.13139399999999998,0.11190099999999992,0.126967,0.13326400000000002,0.10973499999999992,0.582671,0.205257
784.5,0.134897,0.13418000000000002,0.13494899999999999,0.121975,0.12173400000000001,0.11785100000000004,0.128401,0.129498,0.12098200000000003,0.127107,0.12907800000000003,0.11506899999999998,0.126037,0.13066300000000003,0.11170999999999998,0.126788,0.13263200000000003,0.10967199999999999,0.582561,0.205167
785.0,0.134731,0.1335666667,0.13514800000000005,0.121823,0.12121266670000003,0.11825600000000003,0.128241,0.1290816667,0.12144599999999994,0.126971,0.12871666669999998,0.11560400000000004,0.125898,0.1304376667,0.11220200000000002,0.126667,0.1324736667,0.11006099999999996,0.582098,0.2050193333
785.5,0.134606,0.13368133329999998,0.13546599999999998,0.121649,0.12136333329999999,0.11846500000000004,0.128124,0.12924333329999999,0.12158199999999997,0.126848,0.1288833333,0.115641,0.125771,0.1306683333,0.11226000000000003,0.126508,0.1326893333,0.11005100000000001,0.581704,0.2045506667
786.0,0.134454,0.13389133330000003,0.13490069999999998,0.12154,0.12163133330000003,0.11790370000000006,0.128,0.1295163333,0.12110470000000007,0.126744,0.12915633329999998,0.11520370000000002,0.125635,0.13093433329999998,0.11183470000000006,0.126401,0.13290533329999998,0.10977170000000003,0.5818523,0.2040756667
786.5,0.134294,0.134005,0.1346043,0.1214,0.12171699999999999,0.11773429999999996,0.127859,0.129495,0.12086929999999996,0.126543,0.12907,0.11495630000000001,0.125482,0.130744,0.11156029999999995,0.126269,0.13264499999999999,0.10948029999999997,0.5818997,0.203719
787.0,0.13416,0.1336313333,0.13456970000000001,0.121328,0.12131433329999997,0.11777769999999999,0.127704,0.1290433333,0.12085670000000004,0.126412,0.12866533329999996,0.1149557,0.125389,0.1302633333,0.1115547,0.126147,0.1322133333,0.10944570000000009,0.5817433,0.2035396667
787.5,0.133993,0.13312466669999998,0.1345463,0.121207,0.12075766670000002,0.11765329999999996,0.127568,0.12846266669999998,0.12071529999999997,0.126268,0.1280716667,0.1146623,0.125232,0.1296466667,0.11126029999999998,0.125975,0.13160366669999998,0.10912630000000001,0.5815087,0.2034493333
788.0,0.13383,0.13265633330000004,0.13417500000000004,0.12107,0.12034133330000002,0.11724699999999999,0.12742,0.12812333330000003,0.120394,0.126118,0.1277653333,0.11457600000000001,0.125067,0.1295643333,0.11120399999999997,0.125814,0.1315873333,0.109236,0.581275,0.2031836667
788.5,0.133661,0.1328536667,0.13427270000000002,0.120916,0.12068466670000003,0.11742770000000002,0.127245,0.1285236667,0.1206857,0.125967,0.12817066670000002,0.11484570000000005,0.124885,0.1299476667,0.11151670000000002,0.125672,0.13194266670000002,0.1094887,0.5809833,0.2026383333
789.0,0.133529,0.13327699999999998,0.13438669999999997,0.120785,0.12108399999999997,0.11754370000000003,0.127098,0.12888099999999997,0.12073670000000003,0.125835,0.12847399999999998,0.11489169999999993,0.124773,0.130174,0.11152770000000001,0.125517,0.132118,0.10943570000000002,0.5807993,0.202054
789.5,0.133355,0.133111,0.13384830000000003,0.120655,0.12082800000000002,0.11697829999999998,0.126971,0.128561,0.12007129999999999,0.125713,0.128109,0.11415429999999993,0.124669,0.129665,0.11073630000000001,0.125393,0.131468,0.1086783,0.5810697,0.201877
790.0,0.133226,0.1323566667,0.13334030000000008,0.120541,0.12002266669999997,0.11655729999999997,0.126869,0.1277046667,0.1195853,0.125615,0.12723666670000003,0.11380330000000005,0.124549,0.1288626667,0.11042030000000003,0.125277,0.1307626667,0.10853829999999998,0.5809407,0.2018313333
