Wavelength,0%,10%,20%,30%,40%,50%,60%,70%,0%H,10%H,20%H,30%H,40%H,50%H,60%H,70%H,0%V,10%V,20%V,30%V,40%V,50%V,60%V,70%V,V_baseline,H_baseline
771.5,0.091411,0.145401,0.170418,0.179781,0.187442,0.185894,0.185336,0.181063,0.08751,0.140228,0.166955,0.179416,0.18848800000000002,0.188713,0.18853500000000004,0.18527800000000003,0.09101170000000003,0.13768770000000008,0.1601477,0.16527570000000003,0.17123370000000004,0.1687957,0.1684097,0.16292269999999998,0.5847513,0.213382
772.0,0.091367,0.145349,0.170346,0.179672,0.187335,0.185776,0.185236,0.180949,0.08725733329999999,0.1399283333,0.1666873333,0.1787853333,0.18815533330000003,0.18838133330000004,0.1882003333,0.18492733330000002,0.09136630000000001,0.1380013,0.16050129999999996,0.1654563,0.17152829999999997,0.16907830000000001,0.1687423,0.16326129999999994,0.5843017,0.2131226667
772.5,0.091277,0.14526,0.170258,0.179557,0.187195,0.185626,0.185132,0.180837,0.08727399999999999,0.13992199999999996,0.16664500000000002,0.178636,0.18809499999999998,0.18829300000000002,0.188078,0.184868,0.09122429999999992,0.1378623,0.16027029999999998,0.1656843,0.17135630000000002,0.16891329999999993,0.1684603,0.16304829999999992,0.5841047,0.212543
773.0,0.091167,0.145128,0.170174,0.179493,0.187108,0.185537,0.185029,0.180771,0.08725533330000002,0.1399093333,0.16661633329999997,0.17856933329999997,0.1881433333,0.1883583333,0.1881973333,0.18494733330000002,0.09067599999999998,0.13733399999999996,0.15981299999999998,0.165068,0.170836,0.16845599999999994,0.16799399999999998,0.16259999999999997,0.584326,0.2120856667
773.5,0.091125,0.145019,0.170105,0.1794,0.187032,0.185425,0.18495,0.180653,0.0874116667,0.14006166669999998,0.16674966670000002,0.1788716667,0.1882826667,0.1885186667,0.18829766669999998,0.18506566670000002,0.09079530000000002,0.13743230000000006,0.1599123,0.16503430000000008,0.17089730000000003,0.1684593000000001,0.16804830000000004,0.16262830000000006,0.5843567,0.2118223333
774.0,0.091044,0.145007,0.169999,0.179311,0.186923,0.185314,0.184848,0.180551,0.08729466669999997,0.13994966669999997,0.1666276667,0.17895766670000002,0.1881036667,0.18828166670000002,0.1881186667,0.1848896667,0.09099729999999995,0.13761729999999994,0.15999929999999996,0.16528029999999994,0.17101029999999995,0.16857429999999995,0.16813829999999996,0.16275229999999996,0.5841547,0.2116913333
774.5,0.090968,0.144953,0.1699,0.179228,0.186817,0.185217,0.184741,0.180471,0.0869326667,0.1395706667,0.16620166669999997,0.1786596667,0.18762166669999997,0.1877926667,0.1876386667,0.18445166670000002,0.09088070000000004,0.1374957,0.15979370000000004,0.1651627,0.17079670000000002,0.1684017,0.16794370000000003,0.16257869999999996,0.5839723,0.2114713333
775.0,0.090921,0.144882,0.169856,0.17915,0.186711,0.185101,0.184618,0.180361,0.08667233329999999,0.13927033330000002,0.1659023333,0.1778263333,0.1872953333,0.1874633333,0.1873413333,0.1841023333,0.09069300000000002,0.13732100000000003,0.15968099999999996,0.164763,0.17069,0.16832500000000006,0.16787399999999997,0.16246300000000002,0.583808,0.2110376667
775.5,0.090874,0.144829,0.169742,0.179084,0.186621,0.185034,0.184523,0.180241,0.08701633330000003,0.1395933333,0.1662693333,0.1779853333,0.18766233329999998,0.18788933330000002,0.1877533333,0.1844703333,0.09089670000000005,0.13749069999999997,0.15984569999999998,0.16499070000000005,0.1708617,0.16850169999999998,0.16802470000000003,0.16258669999999997,0.5836783,0.2104576667
776.0,0.090822,0.144742,0.169685,0.178998,0.186535,0.184926,0.184433,0.180158,0.08724566669999997,0.13984866669999999,0.16650366669999997,0.1786416667,0.1878686667,0.18811466670000002,0.18795866669999997,0.18469966670000001,0.09065000000000001,0.1371650000000001,0.15955600000000003,0.16500400000000004,0.170516,0.16814700000000005,0.16762900000000003,0.16225900000000004,0.583845,0.2101133333
