Wavelength,Test1,Test2,Test3,Average
485,0.285309,0.285239,0.286655,0.2857343333
485.5,0.280876,0.280878,0.282214,0.2813226667
486,0.276303,0.276342,0.277731,0.276792
486.5,0.27167,0.271793,0.273187,0.2722166667
487,0.267032,0.267229,0.268635,0.267632
487.5,0.262577,0.262878,0.264177,0.2632106667
488,0.258405,0.258605,0.259827,0.2589456667
488.5,0.254341,0.25445,0.255715,0.2548353333
489,0.250561,0.250626,0.251933,0.25104
489.5,0.247024,0.247068,0.248429,0.247507
490,0.243704,0.243766,0.245078,0.2441826667
490.5,0.240654,0.240681,0.242003,0.2411126667
491,0.237951,0.237955,0.239269,0.2383916667
491.5,0.235613,0.235628,0.236972,0.236071
492,0.233575,0.233536,0.23496,0.2340236667
492.5,0.231817,0.23184,0.233208,0.2322883333
493,0.230317,0.230373,0.23175,0.2308133333
493.5,0.229218,0.229234,0.230708,0.22972
494,0.22842,0.228439,0.229914,0.2289243333
494.5,0.227944,0.227942,0.229461,0.228449
495,0.227718,0.227702,0.229227,0.2282156667
495.5,0.227688,0.227659,0.229166,0.228171
496,0.227909,0.227887,0.229362,0.228386
496.5,0.228218,0.228258,0.229758,0.2287446667
497,0.228726,0.228818,0.230265,0.2292696667
497.5,0.229492,0.229517,0.230985,0.229998
498,0.230377,0.230331,0.231865,0.2308576667
498.5,0.231295,0.231268,0.232755,0.2317726667
499,0.232274,0.232278,0.233736,0.2327626667
499.5,0.233245,0.23328,0.234746,0.233757
500,0.234319,0.234377,0.235807,0.2348343333
500.5,0.2355,0.235533,0.236982,0.236005
501,0.236754,0.236765,0.238249,0.237256
501.5,0.23804,0.238051,0.239494,0.2385283333
502,0.239394,0.2394,0.240857,0.2398836667
502.5,0.240655,0.240608,0.242115,0.241126
503,0.241948,0.241861,0.243307,0.242372
503.5,0.243145,0.243134,0.244512,0.243597
504,0.244465,0.244423,0.245812,0.2449
504.5,0.245748,0.245692,0.247101,0.2461803333
505,0.247018,0.246995,0.248434,0.2474823333
505.5,0.248353,0.248365,0.24975,0.2488226667
506,0.249548,0.249553,0.250946,0.2500156667
506.5,0.250711,0.250749,0.252138,0.2511993333
507,0.251846,0.251878,0.253206,0.25231
507.5,0.253036,0.252993,0.254367,0.2534653333
508,0.254175,0.254147,0.255561,0.2546276667
508.5,0.255264,0.255282,0.256663,0.2557363333
509,0.256406,0.256402,0.2577,0.256836
509.5,0.257524,0.257529,0.258813,0.2579553333
510,0.258582,0.258549,0.259879,0.2590033333
510.5,0.25942,0.259462,0.260774,0.2598853333
511,0.260313,0.260347,0.261636,0.2607653333
511.5,0.261341,0.261325,0.262591,0.2617523333
512,0.262248,0.262185,0.263426,0.2626196667
512.5,0.263122,0.263062,0.264329,0.2635043333
513,0.263976,0.263975,0.265256,0.2644023333
513.5,0.264788,0.264778,0.266083,0.2652163333
514,0.265582,0.265548,0.266844,0.2659913333
514.5,0.26637,0.266411,0.267693,0.2668246667
515,0.267157,0.267247,0.268533,0.2676456667
515.5,0.267929,0.267979,0.269317,0.2684083333
516,0.268782,0.268843,0.270098,0.269241
516.5,0.269478,0.269489,0.270777,0.2699146667
517,0.270103,0.27017,0.271461,0.270578
517.5,0.270799,0.270885,0.272191,0.2712916667
518,0.271511,0.271553,0.272865,0.2719763333
518.5,0.27216,0.272146,0.273541,0.2726156667
519,0.272817,0.272871,0.274225,0.2733043333
519.5,0.273459,0.27349,0.27477,0.2739063333
520,0.274082,0.27407,0.275349,0.2745003333
520.5,0.274673,0.274711,0.27601,0.2751313333
521,0.275298,0.275269,0.276652,0.2757396667
521.5,0.27588,0.275832,0.277183,0.2762983333
522,0.276455,0.276463,0.277774,0.2768973333
522.5,0.276934,0.277046,0.278282,0.2774206667
523,0.277511,0.277603,0.278803,0.2779723333
523.5,0.278076,0.278167,0.279428,0.278557
524,0.278606,0.278694,0.279968,0.2790893333
524.5,0.279158,0.279218,0.280483,0.2796196667
525,0.279699,0.279751,0.281077,0.2801756667
525.5,0.280335,0.280403,0.28168,0.280806
526,0.280898,0.280893,0.282199,0.28133
526.5,0.281379,0.281435,0.282701,0.2818383333
527,0.281909,0.281983,0.283236,0.282376
527.5,0.282501,0.282527,0.283767,0.2829316667
528,0.283013,0.283041,0.284264,0.2834393333
528.5,0.283512,0.283501,0.284755,0.2839226667
529,0.283961,0.28396,0.285221,0.2843806667
529.5,0.284469,0.284456,0.285765,0.2848966667
530,0.284971,0.284967,0.286288,0.2854086667
530.5,0.285439,0.285443,0.286698,0.28586
531,0.285853,0.28596,0.287169,0.2863273333
531.5,0.286357,0.286388,0.287639,0.2867946667
532,0.286732,0.286853,0.288075,0.28722
532.5,0.287195,0.287301,0.288549,0.2876816667
533,0.287659,0.287693,0.288991,0.2881143333
533.5,0.288186,0.28821,0.28944,0.288612
534,0.288522,0.288646,0.289774,0.2889806667
534.5,0.288995,0.289055,0.290224,0.2894246667
535,0.289413,0.289459,0.290675,0.289849
535.5,0.289839,0.289843,0.291085,0.2902556667
536,0.290528,0.290526,0.291676,0.29091
536.5,0.290918,0.290896,0.291998,0.2912706667
537,0.29099,0.291042,0.292111,0.291381
537.5,0.291249,0.291303,0.292378,0.2916433333
538,0.291616,0.291629,0.292707,0.291984
538.5,0.292035,0.292009,0.293088,0.2923773333
539,0.292391,0.292377,0.293447,0.2927383333
539.5,0.292767,0.292814,0.293809,0.29313
540,0.29318,0.29319,0.294203,0.2935243333
540.5,0.293527,0.293526,0.294556,0.2938696667
541,0.29389,0.293915,0.294966,0.294257
541.5,0.294113,0.294237,0.295272,0.2945406667
542,0.294528,0.294543,0.295642,0.2949043333
542.5,0.294883,0.294941,0.295967,0.2952636667
543,0.29523,0.295229,0.296324,0.2955943333
543.5,0.295674,0.295662,0.296701,0.2960123333
544,0.296009,0.29599,0.29705,0.2963496667
544.5,0.296312,0.296253,0.297353,0.2966393333
545,0.29658,0.29655,0.297596,0.2969086667
545.5,0.296803,0.296847,0.297919,0.2971896667
546,0.297143,0.297141,0.298207,0.297497
546.5,0.29746,0.297415,0.298555,0.29781
547,0.297778,0.297766,0.298882,0.298142
547.5,0.298117,0.29815,0.299162,0.2984763333
548,0.298439,0.298414,0.299499,0.298784
548.5,0.29874,0.29865,0.299767,0.2990523333
549,0.299043,0.298963,0.300087,0.2993643333
549.5,0.299274,0.299208,0.300369,0.299617
550,0.299527,0.299508,0.300622,0.2998856667
550.5,0.299857,0.2998,0.300932,0.3001963333
551,0.300128,0.300126,0.301177,0.300477
551.5,0.300388,0.300431,0.301459,0.3007593333
552,0.300717,0.300764,0.301791,0.3010906667
552.5,0.301019,0.301021,0.302038,0.3013593333
553,0.301256,0.301239,0.302339,0.3016113333
553.5,0.301574,0.301503,0.302696,0.3019243333
554,0.301886,0.301784,0.303001,0.3022236667
554.5,0.302086,0.301989,0.303222,0.3024323333
555,0.302373,0.302355,0.30352,0.3027493333
555.5,0.302635,0.302606,0.30376,0.3030003333
556,0.302869,0.302815,0.30399,0.3032246667
556.5,0.303173,0.303119,0.304256,0.303516
557,0.303339,0.303247,0.304455,0.3036803333
557.5,0.303628,0.303572,0.304702,0.3039673333
558,0.303831,0.303773,0.30487,0.304158
558.5,0.303964,0.303939,0.305071,0.3043246667
559,0.304301,0.304291,0.305406,0.304666
559.5,0.304511,0.304483,0.305581,0.3048583333
560,0.304745,0.304711,0.305758,0.3050713333
560.5,0.304892,0.304915,0.305963,0.3052566667
561,0.305064,0.305105,0.30614,0.3054363333
561.5,0.30536,0.305379,0.306391,0.30571
562,0.305592,0.305605,0.306637,0.3059446667
562.5,0.305709,0.305784,0.306787,0.3060933333
563,0.305932,0.30598,0.306986,0.3062993333
563.5,0.306115,0.306175,0.307211,0.3065003333
564,0.306369,0.306406,0.307356,0.3067103333
564.5,0.306619,0.306596,0.307604,0.3069396667
565,0.306733,0.306744,0.307772,0.307083
565.5,0.306959,0.306928,0.307918,0.3072683333
566,0.307191,0.307128,0.30814,0.3074863333
566.5,0.307248,0.307252,0.308313,0.3076043333
567,0.307456,0.307483,0.308444,0.3077943333
567.5,0.307682,0.307673,0.308621,0.307992
568,0.30787,0.30786,0.308792,0.308174
568.5,0.308006,0.308001,0.308956,0.308321
569,0.308118,0.308171,0.309085,0.308458
569.5,0.308251,0.308276,0.309268,0.3085983333
570,0.308455,0.308441,0.309433,0.3087763333
570.5,0.308588,0.308639,0.309645,0.3089573333
571,0.308775,0.308829,0.309834,0.309146
571.5,0.308985,0.309036,0.309943,0.3093213333
572,0.309107,0.309076,0.310132,0.3094383333
572.5,0.30926,0.309208,0.310258,0.3095753333
573,0.309412,0.309391,0.310387,0.30973
573.5,0.309553,0.309467,0.310569,0.309863
574,0.309676,0.30964,0.310665,0.3099936667
574.5,0.309852,0.309768,0.310797,0.310139
575,0.309966,0.309884,0.310996,0.310282
575.5,0.310102,0.310118,0.311122,0.3104473333
576,0.31027,0.310266,0.311277,0.3106043333
576.5,0.310323,0.310321,0.31136,0.310668
577,0.310444,0.310478,0.311446,0.3107893333
577.5,0.310494,0.310531,0.311569,0.3108646667
578,0.310647,0.310682,0.311711,0.3110133333
578.5,0.310866,0.310885,0.311824,0.3111916667
579,0.310981,0.310973,0.311984,0.3113126667
579.5,0.311067,0.311079,0.312125,0.3114236667
580,0.311229,0.311245,0.312225,0.3115663333
580.5,0.311245,0.311197,0.312267,0.3115696667
581,0.311331,0.311341,0.31232,0.311664
581.5,0.311458,0.311469,0.312427,0.3117846667
582,0.311571,0.311597,0.312645,0.3119376667
582.5,0.311795,0.311736,0.312723,0.3120846667
583,0.31195,0.311872,0.312822,0.3122146667
583.5,0.311935,0.311892,0.312901,0.3122426667
584,0.312074,0.312077,0.313,0.3123836667
584.5,0.312152,0.312185,0.313159,0.3124986667
585,0.312229,0.312232,0.313194,0.3125516667
585.5,0.312277,0.312298,0.31317,0.3125816667
586,0.312323,0.312348,0.313296,0.3126556667
586.5,0.3123,0.312326,0.313357,0.312661
587,0.312432,0.312456,0.31338,0.312756
587.5,0.312508,0.312465,0.313459,0.3128106667
588,0.312546,0.312596,0.313606,0.312916
588.5,0.312665,0.312688,0.313588,0.3129803333
589,0.312738,0.312763,0.313723,0.3130746667
589.5,0.312791,0.312812,0.313773,0.3131253333
590,0.312894,0.312898,0.313822,0.3132046667
590.5,0.312948,0.31297,0.313915,0.3132776667
591,0.313003,0.313008,0.313957,0.3133226667
591.5,0.313114,0.313113,0.314044,0.3134236667
592,0.313074,0.313082,0.314098,0.313418
592.5,0.313126,0.313134,0.314103,0.3134543333
593,0.31321,0.313255,0.314108,0.3135243333
593.5,0.31327,0.313263,0.314213,0.313582
594,0.313226,0.313256,0.31425,0.3135773333
594.5,0.313274,0.313319,0.314223,0.3136053333
595,0.31331,0.313289,0.314295,0.3136313333
595.5,0.313341,0.313356,0.314351,0.3136826667
596,0.313425,0.313467,0.314329,0.3137403333
596.5,0.313437,0.313463,0.314352,0.3137506667
597,0.313413,0.313397,0.314393,0.3137343333
597.5,0.313469,0.313485,0.314374,0.313776
598,0.313531,0.313568,0.314414,0.3138376667
598.5,0.313553,0.313527,0.314538,0.3138726667
599,0.313573,0.313564,0.314534,0.3138903333
599.5,0.313614,0.313556,0.314599,0.313923
600,0.313534,0.313547,0.314555,0.3138786667
600.5,0.313611,0.313641,0.314573,0.3139416667
601,0.313638,0.31368,0.31461,0.313976
601.5,0.313606,0.313669,0.314675,0.3139833333
602,0.313608,0.313634,0.314557,0.313933
602.5,0.313552,0.313574,0.314589,0.313905
603,0.313567,0.31357,0.314639,0.3139253333
603.5,0.313588,0.313583,0.314542,0.3139043333
604,0.313575,0.313584,0.314535,0.313898
604.5,0.313597,0.313611,0.314585,0.313931
605,0.31364,0.313685,0.314548,0.3139576667
605.5,0.313532,0.313632,0.314495,0.3138863333
606,0.313452,0.313582,0.314563,0.3138656667
606.5,0.313473,0.313548,0.314408,0.3138096667
607,0.313415,0.313525,0.314418,0.313786
607.5,0.313409,0.31353,0.314484,0.3138076667
