Wavelength,Test 1,Test 2,Test 3,Average
458.5000000,0.5067760,0.5070180,0.5070960,0.5069633
459.0000000,0.5063440,0.5063970,0.5065580,0.5064330
459.5000000,0.5057870,0.5059940,0.5060020,0.5059277
460.0000000,0.5053580,0.5054780,0.5055270,0.5054543
460.5000000,0.5048410,0.5048540,0.5049770,0.5048907
461.0000000,0.5041870,0.5042640,0.5043110,0.5042540
461.5000000,0.5036610,0.5037430,0.5037870,0.5037303
462.0000000,0.5031780,0.5032540,0.5033130,0.5032483
462.5000000,0.5026400,0.5026530,0.5028070,0.5027000
463.0000000,0.5020360,0.5022090,0.5023000,0.5021817
463.5000000,0.5013890,0.5015740,0.5016390,0.5015340
464.0000000,0.5007870,0.5009930,0.5010230,0.5009343
464.5000000,0.5003190,0.5004130,0.5004890,0.5004070
465.0000000,0.4997280,0.4998480,0.4999340,0.4998367
465.5000000,0.4991220,0.4992260,0.4993220,0.4992233
466.0000000,0.4984660,0.4985870,0.4985920,0.4985483
466.5000000,0.4977780,0.4979050,0.4979650,0.4978827
467.0000000,0.4970490,0.4971320,0.4971950,0.4971253
467.5000000,0.4963670,0.4963050,0.4965250,0.4963990
468.0000000,0.4954890,0.4954670,0.4956530,0.4955363
468.5000000,0.4947090,0.4947200,0.4948700,0.4947663
469.0000000,0.4939210,0.4938970,0.4940580,0.4939587
469.5000000,0.4930210,0.4929170,0.4931190,0.4930190
470.0000000,0.4919540,0.4918430,0.4919940,0.4919303
470.5000000,0.4906990,0.4906610,0.4907510,0.4907037
471.0000000,0.4893230,0.4892650,0.4893800,0.4893227
471.5000000,0.4877710,0.4875860,0.4877180,0.4876917
472.0000000,0.4857470,0.4855680,0.4856240,0.4856463
472.5000000,0.4831480,0.4828720,0.4830150,0.4830117
473.0000000,0.4798570,0.4795440,0.4796600,0.4796870
473.5000000,0.4770590,0.4766420,0.4767830,0.4768280
474.0000000,0.4760880,0.4756620,0.4757090,0.4758197
474.5000000,0.4764920,0.4760610,0.4760920,0.4762150
475.0000000,0.4772910,0.4768900,0.4769530,0.4770447
475.5000000,0.4781840,0.4778230,0.4779300,0.4779790
476.0000000,0.4793880,0.4790060,0.4790880,0.4791607
476.5000000,0.4806340,0.4804390,0.4804990,0.4805240
477.0000000,0.4821700,0.4819470,0.4821170,0.4820780
477.5000000,0.4840230,0.4837990,0.4839790,0.4839337
478.0000000,0.4860560,0.4859610,0.4861290,0.4860487
478.5000000,0.4884300,0.4884030,0.4885320,0.4884550
